"plot_id","satellite","dmsp_start","dmsp_end","guvi_start","guvi_end","guvi_orbits","matched_dmsp_n","median_abs_dt_min","min_abs_dt_min","peak_vi_time","peak_vi_mps","peak_abs_vi_mps","nearest_guvi_time","nearest_pair_abs_dt_min","nearest_pair_dmlat_deg","nearest_pair_dmlt_h","nearest_guvi_on2","guvi_on2_median","drift_abs_p95_kms"
"1","F15","2015-03-17 14:28:02","2015-03-17 14:42:02","2015-03-17 14:32:30.732421873","2015-03-17 14:32:30.732421873","71917","33","2.528873697883254","2.262207031216542","2015-03-17 14:29:46","-1305.2","1305.2","2015-03-17 14:32:30.732421873","2.7455403499999997","2.8122269419407786","-0.3697367850178619","0.18388155102729797","0.1838815510272979","1.28834"
"2","F15","2015-03-18 20:59:24","2015-03-18 21:07:21","2015-03-18 21:13:08.378906252","2015-03-18 21:13:08.378906252","71936","68","11.931315104200019","11.372981770866204","2015-03-18 21:00:58","685.65","685.65","2015-03-18 21:13:08.378906252","12.172981766666668","-0.9390326422687139","-0.3819235159825247","0.1747320592403412","0.1747320592403412","0.6761229999999999"
"3","F15","2015-03-18 19:15:30","2015-03-18 19:25:54","2015-03-18 19:35:32.226562504","2015-03-18 19:36:17.050781252","71935","110","16.70917968753315","15.053776041733325","2015-03-18 19:19:21","1375.3","1375.3","2015-03-18 19:36:17.050781252","16.934179683333333","-0.10093380882267411","-0.31132915740268885","0.13655459880828857","0.1365545988082885","1.100655"
"4","F15","2015-03-17 21:15:48","2015-03-17 21:23:29","2015-03-17 21:00:00.659179684","2015-03-17 21:00:00.659179684","71921","28","17.547347005266683","17.322347005266888","2015-03-17 21:17:47","689.67","689.67","2015-03-17 21:00:00.659179684","17.772347016666668","-2.9805414239240093","-0.35097502785134793","0.16938015818595886","0.1693801581859588","0.5872179999999998"
"5","F15","2015-03-18 15:52:51","2015-03-18 16:06:13","2015-03-18 16:22:20.551757810","2015-03-18 16:22:29.121093747","71933","131","25.852018229116567","24.62586263016675","2015-03-18 15:55:51","-1481.6","1481.6","2015-03-18 16:22:29.121093747","26.63535155","2.0610578766594045","-0.3578091240858452","0.17958810925483704","0.179588109254837","1.19485"
