"plot_id","candidate_rank_2h","satellite","dmsp_start","dmsp_end","guvi_start","guvi_end","matched_dmsp_n","median_abs_dt_min","min_abs_dt_min","peak_vi_time","peak_abs_vi_mps","matched_abs_vi_p95_mps","guvi_on2_median","guvi_on2_p05","saps_low_on2","ssusi_relation","ssusi_sat","ssusi_rev","ssusi_start","ssusi_stop","ssusi_mid_dt_h","superdarn_panel_start","superdarn_panel_end","orbit_correction"
"1","18","F16","2015-03-17 20:41:15","2015-03-17 20:48:29","2015-03-17 22:36:54.624023441","2015-03-17 22:36:54.624023441","92","114.90206705734998","114.14373372401654","2015-03-17 20:42:41","2472.1","2157.82","0.1304831504821777","0.1304831504821777","True","same_satellite_same_pass","F16","58880","2015-03-17 19:35:35","2015-03-17 21:17:26","0.25819444444444445","2015-03-17 20:42:00","2015-03-17 20:44:00","linearized_full_polar_pass"
"2","20","F16","2015-03-17 18:55:51","2015-03-17 19:08:16","2015-03-17 20:59:12.539062504","2015-03-17 21:00:00.659179684","134","118.95489908858345","117.82496744788332","2015-03-17 19:01:43","2311.5","1145.225","0.249914675951004","0.1489039659500122","True","same_satellite_same_pass","F16","58879","2015-03-17 17:53:39","2015-03-17 19:35:30","0.27125","2015-03-17 19:00:00","2015-03-17 19:02:00","linearized_full_polar_pass"
"3","2","F16","2015-03-18 23:44:30","2015-03-18 23:44:44","2015-03-18 22:42:59.150390621","2015-03-18 22:49:10.927734378","12","58.63458658852522","55.551204427032985","2015-03-18 23:44:33","69.501","61.85654999999999","0.1657407283782959","0.1107996731996536","False","same_satellite_same_pass","F16","58896","2015-03-18 22:46:10","2015-03-19 00:28:01","0.12569444444444444","2015-03-18 23:44:00","2015-03-18 23:46:00","linearized_full_polar_pass"
"4","8","F16","2015-03-17 23:58:31","2015-03-17 23:58:46","2015-03-17 22:30:42.187500000","2015-03-18 01:42:14.985351558","15","86.0462402344001","82.01007486983357","2015-03-17 23:58:37","416.39","406.702","0.2254810035228729","0.157900583744049","False","same_satellite_same_pass","F16","58882","2015-03-17 22:59:27","2015-03-18 00:41:18","0.1376388888888889","2015-03-17 23:58:00","2015-03-18 00:00:00","linearized_full_polar_pass"
"5","15","F18","2015-03-17 23:53:30","2015-03-17 23:53:45","2015-03-18 01:43:39.360351558","2015-03-18 01:47:48.530273441","14","112.11272786455851","110.12267252596658","2015-03-17 23:53:32","415.94","388.965","0.1576233804225921","0.1301110208034515","False","same_satellite_same_pass","F18","27905","2015-03-17 22:53:00","2015-03-18 00:34:51","0.16180555555555556","2015-03-17 23:52:00","2015-03-17 23:54:00","linearized_full_polar_pass"
