event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,superdarn,SuperDARN map/fit/grid or quick-look,2015-03-15T00:00:00,2015-03-18T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20150315_*.png OR SuperDARN map/fit/grid 20150315;convection_maps_*_20150316_*.png OR SuperDARN map/fit/grid 20150316;convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317,E:\SAPS O N2 ratio\data_raw\superdarn\2015\20150316,False,True,medium
available_20150317,2015-03-17,superdarn,SuperDARN map/fit/grid or quick-look,2015-03-16T00:00:00,2015-03-19T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20150316_*.png OR SuperDARN map/fit/grid 20150316;convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317;convection_maps_*_20150318_*.png OR SuperDARN map/fit/grid 20150318,E:\SAPS O N2 ratio\data_raw\superdarn\2015\20150317,False,True,medium
available_20150318,2015-03-18,superdarn,SuperDARN map/fit/grid or quick-look,2015-03-17T00:00:00,2015-03-20T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317;convection_maps_*_20150318_*.png OR SuperDARN map/fit/grid 20150318;convection_maps_*_20150319_*.png OR SuperDARN map/fit/grid 20150319,E:\SAPS O N2 ratio\data_raw\superdarn\2015\20150318,False,True,medium
validation_20140219,2014-02-19,superdarn,SuperDARN map/fit/grid or quick-look,2014-02-18T00:00:00,2014-02-21T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20140218_*.png OR SuperDARN map/fit/grid 20140218;convection_maps_*_20140219_*.png OR SuperDARN map/fit/grid 20140219;convection_maps_*_20140220_*.png OR SuperDARN map/fit/grid 20140220,E:\SAPS O N2 ratio\data_raw\superdarn\2014\20140219,False,True,medium
validation_20111025,2011-10-25,superdarn,SuperDARN map/fit/grid or quick-look,2011-10-24T00:00:00,2011-10-27T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20111024_*.png OR SuperDARN map/fit/grid 20111024;convection_maps_*_20111025_*.png OR SuperDARN map/fit/grid 20111025;convection_maps_*_20111026_*.png OR SuperDARN map/fit/grid 20111026,E:\SAPS O N2 ratio\data_raw\superdarn\2011\20111025,False,True,medium
validation_20130630,2013-06-30,superdarn,SuperDARN map/fit/grid or quick-look,2013-06-29T00:00:00,2013-07-02T00:00:00,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,convection_maps_*_20130629_*.png OR SuperDARN map/fit/grid 20130629;convection_maps_*_20130630_*.png OR SuperDARN map/fit/grid 20130630;convection_maps_*_20130701_*.png OR SuperDARN map/fit/grid 20130701,E:\SAPS O N2 ratio\data_raw\superdarn\2013\20130630,False,True,medium
