event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,guvi_on2,TIMED/GUVI L3 O/N2,2015-03-15T00:00:00,2015-03-18T00:00:00,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,timed_guvi_l3-on2_2015074_*.nc;timed_guvi_l3-on2_2015075_*.nc;timed_guvi_l3-on2_2015076_*.nc,E:\SAPS O N2 ratio\data_raw\guvi_on2\2015\20150316,False,True,high
available_20150318,2015-03-18,guvi_on2,TIMED/GUVI L3 O/N2,2015-03-17T00:00:00,2015-03-20T00:00:00,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,timed_guvi_l3-on2_2015076_*.nc;timed_guvi_l3-on2_2015077_*.nc;timed_guvi_l3-on2_2015078_*.nc,E:\SAPS O N2 ratio\data_raw\guvi_on2\2015\20150318,False,True,high
validation_20140219,2014-02-19,guvi_on2,TIMED/GUVI L3 O/N2,2014-02-18T00:00:00,2014-02-21T00:00:00,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,timed_guvi_l3-on2_2014049_*.nc;timed_guvi_l3-on2_2014050_*.nc;timed_guvi_l3-on2_2014051_*.nc,E:\SAPS O N2 ratio\data_raw\guvi_on2\2014\20140219,False,True,high
validation_20111025,2011-10-25,guvi_on2,TIMED/GUVI L3 O/N2,2011-10-24T00:00:00,2011-10-27T00:00:00,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,timed_guvi_l3-on2_2011297_*.nc;timed_guvi_l3-on2_2011298_*.nc;timed_guvi_l3-on2_2011299_*.nc,E:\SAPS O N2 ratio\data_raw\guvi_on2\2011\20111025,False,True,high
validation_20130630,2013-06-30,guvi_on2,TIMED/GUVI L3 O/N2,2013-06-29T00:00:00,2013-07-02T00:00:00,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,timed_guvi_l3-on2_2013180_*.nc;timed_guvi_l3-on2_2013181_*.nc;timed_guvi_l3-on2_2013182_*.nc,E:\SAPS O N2 ratio\data_raw\guvi_on2\2013\20130630,False,True,high
