event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,gold_on2,GOLD,2015-03-15T00:00:00,2015-03-18T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20150315*;GOLD_L2_ON2_20150316*;GOLD_L2_ON2_20150317*,E:\SAPS O N2 ratio\data_raw\gold\on2\2015\20150316,False,True,future_branch_not_required_for_GUVI_statistics
available_20150317,2015-03-17,gold_on2,GOLD,2015-03-16T00:00:00,2015-03-19T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20150316*;GOLD_L2_ON2_20150317*;GOLD_L2_ON2_20150318*,E:\SAPS O N2 ratio\data_raw\gold\on2\2015\20150317,False,True,future_branch_not_required_for_GUVI_statistics
available_20150318,2015-03-18,gold_on2,GOLD,2015-03-17T00:00:00,2015-03-20T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20150317*;GOLD_L2_ON2_20150318*;GOLD_L2_ON2_20150319*,E:\SAPS O N2 ratio\data_raw\gold\on2\2015\20150318,False,True,future_branch_not_required_for_GUVI_statistics
validation_20140219,2014-02-19,gold_on2,GOLD,2014-02-18T00:00:00,2014-02-21T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20140218*;GOLD_L2_ON2_20140219*;GOLD_L2_ON2_20140220*,E:\SAPS O N2 ratio\data_raw\gold\on2\2014\20140219,False,True,future_branch_not_required_for_GUVI_statistics
validation_20111025,2011-10-25,gold_on2,GOLD,2011-10-24T00:00:00,2011-10-27T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20111024*;GOLD_L2_ON2_20111025*;GOLD_L2_ON2_20111026*,E:\SAPS O N2 ratio\data_raw\gold\on2\2011\20111025,False,True,future_branch_not_required_for_GUVI_statistics
validation_20130630,2013-06-30,gold_on2,GOLD,2013-06-29T00:00:00,2013-07-02T00:00:00,NASA GOLD L2 O/N2 archive; future branch only.,GOLD_L2_ON2_20130629*;GOLD_L2_ON2_20130630*;GOLD_L2_ON2_20130701*,E:\SAPS O N2 ratio\data_raw\gold\on2\2013\20130630,False,True,future_branch_not_required_for_GUVI_statistics
