event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,indices,OMNI/SYM-H/AE/Dst/Kp,2015-03-15T00:00:00,2015-03-18T00:00:00,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",OMNI/SYM-H/AE/Dst/Kp covering 2015-03-15;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-16;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-17,E:\SAPS O N2 ratio\data_raw\indices\2015\20150316,False,True,high
available_20150318,2015-03-18,indices,OMNI/SYM-H/AE/Dst/Kp,2015-03-17T00:00:00,2015-03-20T00:00:00,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",OMNI/SYM-H/AE/Dst/Kp covering 2015-03-17;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-18;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-19,E:\SAPS O N2 ratio\data_raw\indices\2015\20150318,False,True,high
validation_20140219,2014-02-19,indices,OMNI/SYM-H/AE/Dst/Kp,2014-02-18T00:00:00,2014-02-21T00:00:00,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",OMNI/SYM-H/AE/Dst/Kp covering 2014-02-18;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-19;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-20,E:\SAPS O N2 ratio\data_raw\indices\2014\20140219,False,True,high
validation_20111025,2011-10-25,indices,OMNI/SYM-H/AE/Dst/Kp,2011-10-24T00:00:00,2011-10-27T00:00:00,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",OMNI/SYM-H/AE/Dst/Kp covering 2011-10-24;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-25;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-26,E:\SAPS O N2 ratio\data_raw\indices\2011\20111025,False,True,high
validation_20130630,2013-06-30,indices,OMNI/SYM-H/AE/Dst/Kp,2013-06-29T00:00:00,2013-07-02T00:00:00,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",OMNI/SYM-H/AE/Dst/Kp covering 2013-06-29;OMNI/SYM-H/AE/Dst/Kp covering 2013-06-30;OMNI/SYM-H/AE/Dst/Kp covering 2013-07-01,E:\SAPS O N2 ratio\data_raw\indices\2013\20130630,False,True,high
