event_id,event_date,data_group,instrument,priority_window_start_ut,priority_window_end_ut,on2_context_start_ut,on2_context_end_ut,expected_file_pattern,remote_source_hint,local_target_dir,queue_status,manual_or_authenticated_step_required,science_blocker_if_missing
validation_20140219,2014-02-19,indices,OMNI2/Dst/Kp/AE indices,2014-02-19T03:00:00Z,2014-02-19T07:00:00Z,2014-02-18T00:00:00Z,2014-02-21T00:00:00Z,OMNI/SYM-H/AE/Dst/Kp covering 2014-02-18;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-19;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-20,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",data_raw\indices\2014\20140219,already_acquired_normalized,False,False
validation_20111025,2011-10-25,indices,OMNI2/Dst/Kp/AE indices,2011-10-25T03:00:00Z,2011-10-25T07:00:00Z,2011-10-24T00:00:00Z,2011-10-27T00:00:00Z,OMNI/SYM-H/AE/Dst/Kp covering 2011-10-24;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-25;OMNI/SYM-H/AE/Dst/Kp covering 2011-10-26,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",data_raw\indices\2011\20111025,already_acquired_normalized,False,False
validation_20130630,2013-06-30,indices,OMNI2/Dst/Kp/AE indices,2013-06-30T03:00:00Z,2013-06-30T07:00:00Z,2013-06-29T00:00:00Z,2013-07-02T00:00:00Z,OMNI/SYM-H/AE/Dst/Kp covering 2013-06-29;OMNI/SYM-H/AE/Dst/Kp covering 2013-06-30;OMNI/SYM-H/AE/Dst/Kp covering 2013-07-01,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",data_raw\indices\2013\20130630,already_acquired_normalized,False,False
