event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,ssusi,DMSP SSUSI,2015-03-15T00:00:00,2015-03-18T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2015074*.nc;dmspf*_ssusi_*_2015075*.nc;dmspf*_ssusi_*_2015076*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2015\20150316,False,True,medium
available_20150317,2015-03-17,ssusi,DMSP SSUSI,2015-03-16T00:00:00,2015-03-19T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2015075*.nc;dmspf*_ssusi_*_2015076*.nc;dmspf*_ssusi_*_2015077*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2015\20150317,False,True,medium
available_20150318,2015-03-18,ssusi,DMSP SSUSI,2015-03-17T00:00:00,2015-03-20T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2015076*.nc;dmspf*_ssusi_*_2015077*.nc;dmspf*_ssusi_*_2015078*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2015\20150318,False,True,medium
validation_20140219,2014-02-19,ssusi,DMSP SSUSI,2014-02-18T00:00:00,2014-02-21T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2014049*.nc;dmspf*_ssusi_*_2014050*.nc;dmspf*_ssusi_*_2014051*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2014\20140219,False,True,medium
validation_20111025,2011-10-25,ssusi,DMSP SSUSI,2011-10-24T00:00:00,2011-10-27T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2011297*.nc;dmspf*_ssusi_*_2011298*.nc;dmspf*_ssusi_*_2011299*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2011\20111025,False,True,medium
validation_20130630,2013-06-30,ssusi,DMSP SSUSI,2013-06-29T00:00:00,2013-07-02T00:00:00,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,dmspf*_ssusi_*_2013180*.nc;dmspf*_ssusi_*_2013181*.nc;dmspf*_ssusi_*_2013182*.nc,E:\SAPS O N2 ratio\data_raw\ssusi\2013\20130630,False,True,medium
