event_id,event_date,data_group,instrument,required_time_start,required_time_end,remote_source_hint,expected_file_pattern,local_target_dir,automated_download_possible,manual_step_required,priority
available_20150316,2015-03-16,dmsp_ssies,DMSP SSIES,2015-03-15T00:00:00,2015-03-18T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20150315_*s1.001.nc;dms_20150316_*s1.001.nc;dms_20150317_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2015\20150316,False,True,high
available_20150317,2015-03-17,dmsp_ssies,DMSP SSIES,2015-03-16T00:00:00,2015-03-19T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20150316_*s1.001.nc;dms_20150317_*s1.001.nc;dms_20150318_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2015\20150317,False,True,high
available_20150318,2015-03-18,dmsp_ssies,DMSP SSIES,2015-03-17T00:00:00,2015-03-20T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20150317_*s1.001.nc;dms_20150318_*s1.001.nc;dms_20150319_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2015\20150318,False,True,high
validation_20140219,2014-02-19,dmsp_ssies,DMSP SSIES,2014-02-18T00:00:00,2014-02-21T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20140218_*s1.001.nc;dms_20140219_*s1.001.nc;dms_20140220_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2014\20140219,False,True,high
validation_20111025,2011-10-25,dmsp_ssies,DMSP SSIES,2011-10-24T00:00:00,2011-10-27T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20111024_*s1.001.nc;dms_20111025_*s1.001.nc;dms_20111026_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2011\20111025,False,True,high
validation_20130630,2013-06-30,dmsp_ssies,DMSP SSIES,2013-06-29T00:00:00,2013-07-02T00:00:00,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,dms_20130629_*s1.001.nc;dms_20130630_*s1.001.nc;dms_20130701_*s1.001.nc,E:\SAPS O N2 ratio\data_raw\dmsp_ssies\2013\20130630,False,True,high
