event_id,event_date,storm_class,storm_phase_coverage,has_dmsp_ssies,has_dmsp_ssj,has_guvi_on2,has_superdarn_quantitative,has_superdarn_quicklook,has_ssusi_boundary,has_ssusi_on2_or_proxy,has_indices,has_gold_on2,ready_class,blocking_missing_data,recommended_next_action
available_20150316,2015-03-16,2015_st_patrick_context,not_tagged_until_indices,False,False,True,False,False,False,False,True,False,E_ON2_available_no_SAPS_data,SAPS detector data,acquire DMSP/SuperDARN SAPS data
available_20150317,2015-03-17,2015_st_patrick_main,not_tagged_until_indices,True,False,True,False,True,True,False,True,False,A_ready_for_full_SAPS_ON2_matching,,run full SAPS/O/N2 matching after normalization
available_20150318,2015-03-18,2015_st_patrick_recovery,not_tagged_until_indices,True,False,True,False,True,True,False,True,False,A_ready_for_full_SAPS_ON2_matching,,run full SAPS/O/N2 matching after normalization
validation_20140219,2014-02-19,unknown_until_indices,not_tagged_until_indices,False,False,False,False,False,False,False,False,False,G_missing_or_unusable,GUVI O/N2; SAPS detector data; geomagnetic indices,download required data and rerun inventory
validation_20111025,2011-10-25,unknown_until_indices,not_tagged_until_indices,False,False,False,False,False,False,False,False,False,G_missing_or_unusable,GUVI O/N2; SAPS detector data; geomagnetic indices,download required data and rerun inventory
validation_20130630,2013-06-30,unknown_until_indices,not_tagged_until_indices,False,False,False,False,False,False,False,False,False,G_missing_or_unusable,GUVI O/N2; SAPS detector data; geomagnetic indices,download required data and rerun inventory
