event_date,hemisphere,time_start_ut,time_end_ut,mlt_min,mlt_max,mlat_center,mlat_width,velocity_median_ms,velocity_p95_ms,velocity_max_ms,radar_count,valid_echo_count,vector_quality,auroral_boundary_support,duration_min,mlt_extent_h,saps_t_slope,saps_t_slope_r_value,confidence_grade,failure_or_caveat
2014-02-19,unknown,2014-02-19T03:00:00Z,2014-02-19T07:00:00Z,,,,,,,,0,0,not_tested_no_quantitative_superdarn_data,not_available,0,,,,rejected,download_queue_only_for_superdarn; quantitative map/fit/grid data required before detector validation
2011-10-25,unknown,2011-10-25T03:00:00Z,2011-10-25T07:00:00Z,,,,,,,,0,0,not_tested_no_quantitative_superdarn_data,not_available,0,,,,rejected,download_queue_only_for_superdarn; quantitative map/fit/grid data required before detector validation
2013-06-30,unknown,2013-06-30T03:00:00Z,2013-06-30T07:00:00Z,,,,,,,,0,0,not_tested_no_quantitative_superdarn_data,not_available,0,,,,rejected,download_queue_only_for_superdarn; quantitative map/fit/grid data required before detector validation
